,namespace,user_id,id
8431,monsenhorfrancisco,edu.maria.mororo.sme,541740
8432,conradochaves,edu.maria.mororo.sme,541725
8433,joaobelem,edu.maria.mororo.sme,541741
8434,melquiadescamelo,edu.maria.mororo.sme,541726
8435,guilhermefilho,edu.maria.mororo.sme,541727
8436,monsenhorgoncalo,edu.maria.eulalia.sme,541742
8437,criancaesperanca,edu.maria.mororo.sme,541728
8438,pedrocamelo,edu.maria.mororo.sme,541729
8439,iracemarufino,edu.maria.eulalia.sme,541743
8440,joaosampaio,edu.maria.mororo.sme,541730
8441,marialaura,edu.maria.eulalia.sme,541744
8442,mariaolinda,edu.maria.mororo.sme,541731
8443,goncalomartins,edu.maria.eulalia.sme,541745
8444,mariaeunice,edu.maria.eulalia.sme,541746
8445,antoniolima,edu.maria.eulalia.sme,541747
8446,senhorbonfim,edu.maria.eulalia.sme,541748
8447,murilorocha,edu.maria.eulalia.sme,541749
8448,antoniairene,edu.paulo.henrique.sme,541936
8449,eldapereira,edu.maria.eulalia.sme,541750
8450,nsfatima,edu.paulo.henrique.sme,541937
8451,joaorosa,edu.maria.eulalia.sme,541751
8452,franciscoperes,edu.paulo.henrique.sme,541938
8453,luizgonzaga,edu.maria.eulalia.sme,541752
8454,joaoferreira,edu.paulo.henrique.sme,541939
8455,moaciralves,edu.paulo.henrique.sme,541940
8456,abiliomartins,edu.maria.eulalia.sme,541753
8457,antoniomelo,edu.paulo.henrique.sme,541941
8458,conradochaves,edu.maria.eulalia.sme,541754
8459,valdemiracoelho,edu.paulo.henrique.sme,541942
8460,monsenhorfrancisco,edu.paulo.henrique.sme,541943
8461,melquiadescamelo,edu.maria.eulalia.sme,541755
8462,joaobelem,edu.paulo.henrique.sme,541944
8463,guilhermefilho,edu.maria.eulalia.sme,541756
8464,criancaesperanca,edu.maria.eulalia.sme,541757
8465,pedrocamelo,edu.maria.eulalia.sme,541758
8466,joaosampaio,edu.maria.eulalia.sme,541759
8467,mariaolinda,edu.maria.eulalia.sme,541760
8468,abdiasmartins,edu.maria.eulalia.sme,541761
8469,antoniairene,edu.maria.eulalia.sme,541762
8470,nsfatima,edu.maria.eulalia.sme,541763
8471,franciscoperes,edu.maria.eulalia.sme,541764
8472,monsenhorgoncalo,edu.renata.bruna.sme,541945
8473,joaoferreira,edu.maria.eulalia.sme,541765
8474,iracemarufino,edu.renata.bruna.sme,541946
8475,moaciralves,edu.maria.eulalia.sme,541766
8476,marialaura,edu.renata.bruna.sme,541947
8477,goncalomartins,edu.renata.bruna.sme,541948
8478,antoniomelo,edu.maria.eulalia.sme,541767
8479,mariaeunice,edu.renata.bruna.sme,541949
8480,valdemiracoelho,edu.maria.eulalia.sme,541768
8481,antoniolima,edu.renata.bruna.sme,541950
8482,monsenhorfrancisco,edu.maria.eulalia.sme,541769
8483,senhorbonfim,edu.renata.bruna.sme,541951
8484,murilorocha,edu.renata.bruna.sme,541952
8485,joaobelem,edu.maria.eulalia.sme,541770
8486,eldapereira,edu.renata.bruna.sme,541953
8487,monsenhorgoncalo,edu.maria.izani.sme,541771
8488,joaorosa,edu.renata.bruna.sme,541954
8489,luizgonzaga,edu.renata.bruna.sme,541955
8490,abiliomartins,edu.renata.bruna.sme,541956
8491,iracemarufino,edu.maria.izani.sme,541772
8492,conradochaves,edu.renata.bruna.sme,541957
8493,marialaura,edu.maria.izani.sme,541773
8494,melquiadescamelo,edu.renata.bruna.sme,541958
8495,goncalomartins,edu.maria.izani.sme,541774
8496,guilhermefilho,edu.renata.bruna.sme,541959
8497,mariaeunice,edu.maria.izani.sme,541775
8498,criancaesperanca,edu.renata.bruna.sme,541960
8499,antoniolima,edu.maria.izani.sme,541776
8500,senhorbonfim,edu.maria.izani.sme,541777
8501,imaculada,sas.admin,598596
8502,murilorocha,edu.maria.izani.sme,541778
8503,eldapereira,edu.maria.izani.sme,541779
8504,provaspoliedro,nathasha.silva,564053
8505,imaculada,sasrafaela5,598597
8506,provaspoliedro,lucila.muller,537411
8507,joaorosa,edu.maria.izani.sme,541780
8508,luizgonzaga,edu.maria.izani.sme,541781
8509,overmarciliofurtado,camila.rocha,467735
8510,abiliomartins,edu.maria.izani.sme,541782
8511,conradochaves,edu.maria.izani.sme,541783
8512,vitae,juliano.vitae,537414
8513,melquiadescamelo,edu.maria.izani.sme,541784
8514,guilhermefilho,edu.maria.izani.sme,541785
8515,criancaesperanca,edu.maria.izani.sme,541786
8516,overabelcabral,camila.rocha,467288
8517,pedrocamelo,edu.maria.izani.sme,541787
8518,joaosampaio,edu.maria.izani.sme,541788
8519,mariaolinda,edu.maria.izani.sme,541789
8520,abdiasmartins,edu.maria.izani.sme,541790
8521,antoniairene,edu.maria.izani.sme,541791
8522,nsfatima,edu.maria.izani.sme,541792
8523,franciscoperes,edu.maria.izani.sme,541793
8524,provaspoliedro,vivian.toledo,537410
8525,joaoferreira,edu.maria.izani.sme,541794
8526,moaciralves,edu.maria.izani.sme,541795
8527,antoniomelo,edu.maria.izani.sme,541796
8528,valdemiracoelho,edu.maria.izani.sme,541797
8529,pedrocamelo,edu.renata.bruna.sme,541961
8530,monsenhorfrancisco,edu.maria.izani.sme,541798
8531,joaosampaio,edu.renata.bruna.sme,541962
8532,joaobelem,edu.maria.izani.sme,541799
8533,monsenhorgoncalo,edu.maria.rosineide.sme,541800
8534,mariaolinda,edu.renata.bruna.sme,541963
8535,iracemarufino,edu.maria.rosineide.sme,541801
8536,abdiasmartins,edu.renata.bruna.sme,541964
8537,marialaura,edu.maria.rosineide.sme,541802
8538,antoniairene,edu.renata.bruna.sme,541965
8539,goncalomartins,edu.maria.rosineide.sme,541803
8540,mariaeunice,edu.maria.rosineide.sme,541804
8541,nsfatima,edu.renata.bruna.sme,541966
8542,antoniolima,edu.maria.rosineide.sme,541805
8543,franciscoperes,edu.renata.bruna.sme,541967
8544,senhorbonfim,edu.maria.rosineide.sme,541806
8545,murilorocha,edu.maria.rosineide.sme,541807
