,namespace,grade,Porcentagem de visualização de relatórios de AA
529,colegiosete,ef 1o ano,0.463768115942029
530,colegiosete,ef 2o ano,0.6299435028248588
531,colegiosete,ef 3o ano,0.4288537549407115
532,colegiosete,ef 4o ano,0.6077844311377245
533,colegiosete,ef 5o ano,0.5397286821705426
534,colegiosete,ef 6o ano,0.3883346124328473
535,colegiosete,ef 7o ano,0.38095238095238093
536,colegiosete,ef 8o ano,0.3745173745173745
537,colegiosete,ef 9o ano,0.35044642857142855
538,colegiosete,em 1a serie,0.411945542380325
539,colegiosete,em 2a serie,0.38449429358520265
540,colegiosete,em 3a serie,0.3059360730593607
541,colegiouirapuru,ef 3o ano,0.15371621621621623
542,colegiouirapuru,ef 4o ano,0.21688311688311687
543,colegiouirapuru,ef 5o ano,0.3885135135135135
544,colegiouirapuru,ef 6o ano,0.40061791967044286
545,colegiouirapuru,ef 7o ano,0.3538647342995169
546,colegiouirapuru,ef 8o ano,0.3071324599708879
547,colegiouirapuru,ef 9o ano,0.29896907216494845
548,colegiouirapuru,em 1a serie,0.28688524590163933
549,colegiouirapuru,em 2a serie,0.1888111888111888
550,colegiouirapuru,em 3a serie,0.23822714681440443
551,colegiounidadejardim,ef 5o ano,0.0
552,colegiounidadejardim,ef 6o ano,0.0
553,colegiounidadejardim,ef 7o ano,0.0
554,colegiounidadejardim,ef 8o ano,0.0
555,colegiounidadejardim,em 1a serie,0.0
556,colegiounidadejardim,em 2a serie,0.0
557,colegiounidadejardim,em 3a serie,0.0
558,colegiouniverso,ef 6o ano,0.8628571428571429
559,colegiouniverso,ef 7o ano,0.8902439024390244
560,colegiouniverso,ef 8o ano,0.8275862068965517
561,colegiouniverso,ef 9o ano,0.9142857142857143
562,colegiouniverso,em 1a serie,0.4552083333333333
563,colegiouniverso,em 2a serie,0.4662480376766091
564,colegiouniverso,em 3a serie,0.41973684210526313
565,colegiouniverso,outro,0.11864406779661017
