,namespace,user_id,id
17262,villalobos,anaguerra,283688
17263,colegioup,profup43,348805
17264,villalobos,carolbalbino,275392
17265,villalobos,danieladiab,283685
17266,villalobos,caioalmeida,140648
17267,villalobos,villa3130,135476
17268,apogeustoantonio2,sergiop,564576
17269,villalobos,marinacaleffi,513784
17270,villalobos,villa1190,135065
17271,porto,sas1498759,504000
17272,master,master.herbert.sousa,542177
17273,francobrasileiro,sas1368088,508692
17274,amadeus,Eliziojunior,537982
17275,itamarati,rita.lebre,472722
17276,sasadaptrelatorios,amandakoga,538050
17277,sasadaptrelatorios,andreiajensen,538051
17278,sasadaptrelatorios,angelicacunha,538052
17279,sasadaptrelatorios,cfspass,538053
17280,sasadaptrelatorios,edgard,538054
17281,sasadaptrelatorios,fabiolapedroso,538055
17282,sasadaptrelatorios,fernandauniban,538056
17283,sasadaptrelatorios,igorfelipe,538057
17284,sasadaptrelatorios,jessicacris58,538058
17285,sasadaptrelatorios,julianarodriguesnascimento,538059
17286,sasadaptrelatorios,laradias,538060
17287,sasadaptrelatorios,mari4caldasventura,538061
17288,sasadaptrelatorios,oneidednq,538062
17289,sasadaptrelatorios,pamelar13,538063
17290,sasadaptrelatorios,primaitan,538064
17291,sasadaptrelatorios,norvaes,538065
17292,sasadaptrelatorios,robertasanalios,538066
17293,sasadaptrelatorios,thais.delnero,538067
17294,benjaminconstant,sas1150269,564049
17295,colegioeducallis,victoria.costa,538470
17296,apogeustoantonio2,renatacg,564580
17297,catarinense,luis.catarinense,546339
17298,dante,sas1558051,538682
17299,jardimsaopaulo,mariaelisa.jardimsp,538697
17300,blueschooleducacional,sas1550730,538688
17301,provaspoliedro,giovani.matematica,538689
17302,ceprimeiromundo,pmundo.fabio.vicentini,469676
17303,apogeustoantonio2,nathaliaccg,564581
17304,colegiobrasilia,professorbrasilia17,187306
17305,liessin,sas1405018,494714
17306,porto,sas1279845,502624
17307,msetemporario,master.americo.amorim,594277
17308,pioxiicolegio,pioxii.adriano.antunes,542545
17309,pioxiicolegio,pioxii.amanda.ferraz,542546
17310,pioxiicolegio,pioxii.amarildo.vieira,542547
17311,pioxiicolegio,pioxii.ana.barros,542548
17312,pioxiicolegio,pioxii.antonio.gois,542549
17313,pioxiicolegio,pioxii.barbara.ferreira,542550
17314,pioxiicolegio,pioxii.carlos.vieira,542551
17315,pioxiicolegio,pioxii.daniel.balbinot,542552
17316,pioxiicolegio,pioxii.edney.gualberto,542554
17317,pioxiicolegio,pioxii.felippe.bandeira,542556
17318,pioxiicolegio,pioxii.flavia.martins,542557
17319,pioxiicolegio,pioxii.frederico.matsui,542558
17320,pioxiicolegio,pioxii.frederico.stevano,542559
17321,pioxiicolegio,pioxii.graziano.costa,542560
17322,pioxiicolegio,pioxii.joao.amaral,542561
17323,pioxiicolegio,pioxii.jucimara.tarricone,542562
17324,pioxiicolegio,pioxii.juliana.cabral,542563
17325,pioxiicolegio,pioxii.katia.oliveira,542564
17326,pioxiicolegio,pioxii.livia.cucatto,542565
17327,pioxiicolegio,pioxii.luciana.carrieri,542566
17328,pioxiicolegio,pioxii.marco.malzone,542567
17329,pioxiicolegio,pioxii.mauricio.leite,542568
17330,pioxiicolegio,pioxii.mauricio.kurkdjian,542569
17331,pioxiicolegio,pioxii.patricia.prado,542570
17332,pioxiicolegio,pioxii.paulo.oliveira,542571
17333,pioxiicolegio,pioxii.rafaela.quesada,542573
17334,pioxiicolegio,pioxii.renato.deutner,542574
17335,pioxiicolegio,pioxii.robson.magri,542575
17336,pioxiicolegio,pioxii.thalita.comenale,542576
17337,pioxiicolegio,pioxii.wagner.santos,542577
17338,pioxiicolegio,pioxii.willian.geraldo,542578
17339,pioxiicolegio,pioxii.linda,542587
17340,colegioeccos,colegio.eccos,598575
17341,antoniolima,eduprof.francisco.kleiton.al,564584
17342,iracemarufino,eduprof.marlene.silva.ir,564585
17343,pioxiicolegio,pioxii.cristiane.yoshikawa,542586
17344,santoamerico,sas1264799,473294
17345,pioxiicolegio,pioxii.sandra.braga,542585
17346,porto,sas1112907,490959
17347,acessoalmirantetamandare,celiane.dalazuana,542605
17348,physicsumarizal,Patrick.jordan,542606
17349,acessoalmirantetamandare,maikon.oliveira,542607
17350,colegiobianguloiv,sas942342,487520
17351,gerabixo,simulados.gerabixo,542627
17352,santoamerico,sas1174546,520526
17353,valdemiracoelho,eduprof.terezinha.peres.vc,564582
17354,colegiobianguloiv,sas1083948,504001
17355,progressaoig,robertadamasco,493990
17356,santoamerico,sas1274846,474139
17357,liessinbarra,sas1416257,495329
17358,porto,sas1175088,546448
17359,porto,sas1501629,504776
17360,alpha,20160130,147674
17361,colegioriobranco,anapaula.riobranco,546369
17362,porto,sas1503831,521830
17363,porto,sas1564934,546426
17364,stellamarisjuveve,flavia.contin,546445
17365,porto,sas1503827,546449
17366,physicsalcindocacela,dansilva20,564100
17367,idb,sas.professor,546463
17368,idb,idb,546466
17369,porto,sas1564926,546479
17370,beityaacov,sas.professor,546468
17371,visaorecife,sas.professor,546473
17372,visaorecife,visaorecife,546476
17373,sagradafamilia,sas786064,488140
17374,apogeustoantonio2,cristiande,564593
17375,physicsalcindocacela,mauro.souza,564726
17376,physicsalcindocacela,eder.guimaraes,564727
17377,colegioalphaunis,brigida.alpha2021,564609
17378,colegioalphaunis,daniel.alpha2021,564610
17379,colegioalphaunis,franciscooli.alpha2021,564611
17380,colegioalphaunis,luiz.alpha2021,564612
17381,colegioalphaunis,hugo.alpha2021,564613
17382,colegioalphaunis,franciscojr.alpha2021,564614
17383,colegioalphaunis,maria.alpha2021,564615
17384,colegioalphaunis,anivaldo.alpha2021,564616
