,namespace,user_id,id
6393,universitariolondrina,matriculadores.luciana.aoki,413869
6394,universitariolondrina,matriculadores.luciano.pereira,413870
6395,colegiojoaopaulo,matriculadores.marta.bassani,413872
6396,colegiodasamericas,daniellepalmeira,415108
6397,overabelcabral,matriculadores.monica.gomes,413873
6398,portinari,matriculadores.osvaldo.paixao,413875
6399,poliedropv,fernando.santos.adm,415155
6400,overmossoro,matriculadores.paola.cristina,413876
6401,poliedropv,markan.adm,415160
6402,universitariolondrina,matriculadores.patricia.honorato,413877
6403,poliedropv,alkimin.adm,415147
6404,overnascimentodecastro,matriculadores.pollyanna.goncalves,413878
6405,poliedropv,carolina.adm,415096
6406,poliedropv,bruno.valter.adm,415158
6407,poliedropv,torquato.adm,415163
6408,poliedropv,cicero.adm,415162
6409,poliedropv,laerson.adm,415164
6410,poliedropv,moratelli.adm,415156
6411,poliedropv,lucascorte.adm,415166
6412,poliedropv,lucasnobre.adm,415167
6413,poliedropv,guedes.adm,415159
6414,colegiojoaopaulo,matriculadores.renata.oliveira,413881
6415,poliedropv,lembo.adm,415146
6416,principius,matriculadores.renata.silva,413882
6417,poliedropv,maciel.adm,415142
6418,acessosantafelicidade,matriculadores.rita.kozar,413883
6419,poliedropv,rodney.adm,415145
6420,universitariolondrina,matriculadores.rosane.ferreira,413887
6421,poliedropv,craveiro.adm,415143
6422,acessoalmirantetamandare,matriculadores.rosangela.carolina,413888
6423,overnascimentodecastro,matriculadores.saionara.fernandes,413890
6424,cem,noemia.souza,415189
6425,physicsumarizal,matriculadores.stefany.pantoja,413892
6426,principius,matriculadores.sullen.silveira,413893
6427,poliedropv,alan.douglas.adm,415161
6428,acessohauer,matriculadores.susyara.cristiane,413894
6429,poliedropv,karyele.adm,415149
6430,physicsmacapa,matriculadores.thamila.dantas,413898
6431,physicsalmirantebarroso,joana.darc,298838
6432,physicsmacapa,matriculadores.tiago.gama,413899
6433,nucleocriativo,adm.elinalva,370060
6434,acessoboqueirao,matriculadores.valquiria.rosa,413900
6435,colegiojoaopaulo,matriculadores.vanessa.gomes,413901
6436,poliedropv,adston.adm,415165
6437,colegiojoaopaulo,matriculadores.vilma.zanardi,413902
6438,physicsbatistacampos,matriculadores.vinicius.queiroz,413903
6439,acessocampolargo,matriculadores.maria.eduarda,413906
6440,poliedropv,vinicius.haidar.adm,415157
6441,acessosantafelicidade,matriculadores.laura.cecilia,413907
6442,dominius,matriculadores.elisangela.justo,413908
6443,poliedropv,lucas.souza.adm,415141
6444,dominius,matriculadores.renata.silva,413909
6445,dominius,matriculadores.sullen.silveira,413910
6446,acessofazendariogrande,matriculadores.maria.eduarda,413916
6447,poliedropv,pedro.oscar.adm,415152
6448,acessopinhais,matriculadores.juliana.ribeiro,413917
6449,avaliacaoapogeu,rodrigoc85,377226
6450,physicscidadenova,matriculadores.livia.cristina,415419
6451,physicscidadenova,matriculadores.beatriz.damasceno,415420
6452,colegiomariahelena,edinaiara.silva,414111
6453,physicsalmirantebarroso,nagib.sales,415454
6454,qi,paulagomesqi,415415
6455,saseducacao,anitasas,358367
6456,acessoportao,viviane.mandelli,415468
6457,colegioecursodesafio,delinha,349861
6458,sas,joelson.cadastro,414259
6459,seletivoeducallis,sel.patriciafonseca,415509
6460,apogeustoantonio1,edgardutra,378773
6461,colegiobrasilia,AdrianaGuimaraes,415630
6462,physicsbatistacampos,aux.nagila.venancio,360331
6463,apogeu,edgardutra,280600
6464,physicsbatistacampos,Thais.nunes,420038
6465,apogeuparademinas,edgardutra,380622
6466,saedigital,clara.abrahao,415058
6467,poliedropv,diego.adm,415098
6468,colegioeducallis,nehemias88,420018
6469,poliedropv,luana.adm,415097
6470,poliedropv,corniatti.adm,415151
6471,poliedropv,danilo.henrique.adm,415154
6472,acesso,giovanni.antonio,420181
6473,master,sara.abreu,348681
6474,mastersolucoes,diego.brito,418027
6475,acesso,alana.lourenco,420222
6476,physicscidadenova,gabriel.araujo,493283
6477,portinari,geisacosta,509002
6478,overlimaesilva,jonasstanley,394071
6479,acessohauer,jonasstanley,359866
6480,avaliacaoapogeu,erik.chaves,425258
6481,stellamaris,raphaelmachado,425333
6482,blumenaucoc,coord.coc,526322
6483,duquecastilho,master.allan.santos,526044
6484,universitario,raphaelmachado,425334
6485,dominusprincipius,raphaelmachado,425335
6486,over,raphaelmachado,425332
6487,acesso,raphaelmachado,425337
6488,apogeumbcursos,professormbcursos,390613
6489,poliedro,diegocavalcante.adm,387652
6490,physicsalcindocacela,larissa.santos,343964
6491,physicscidadenova,larissa.santos,343966
6492,colegiosete,flromeiroc,236079
6493,dominiusprincipius,raphaelmachado,425346
6494,topguncolombo,larissa.santos,354603
6495,unificado,danielagoncalvesunificado,407538
6496,physicsconselheirofurtado,jonasstanley,338495
6497,colegioser,vbertolini,406816
6498,objetivoteresina,sas.admin,563487
6499,portinari,raphaelmachado,406038
6500,potenciacao,adm.potenciacao,425267
6501,overmossoro,claudine.freire,392694
6502,avaliacaoapogeu,guilherme.nicolau,428306
6503,physicsalmirantebarroso,larissa.santos,302823
6504,avaliacaoapogeu,danilo.braz,428307
6505,informacao,allfilho,233258
6506,master,anderson.souza,428497
6507,pesenglish,filipelube,522442
6508,pesenglish,luizfernando.pes,522443
6509,casdinhosjc,JucaPirama,521757
6510,master,catarina.narciso,431450
6511,poliedropv,erlaine.adm,415148
6512,casdinhosjc,Leviosa,521662
6513,implantacao,joicevanini,432001
6514,qi,diana.raiz,425438
6515,aocubo,diana.raiz,425439
6516,seletivoeducallis,edu.delcimara,432043
6517,unificado,diana.raiz,425440
6518,sap,diana.raiz,425441
6519,progressaodc,Jessica.Alves,425445
6520,sme,lucilene.campanholo,537025
6521,profederal,patricia.lepkoski,428414
6522,crb,sandra.pereira,537026
6523,objetivoteresina,sasrafaela5,563488
6524,dbosco,lorena.dbosco,537283
6525,duquecastilho,master.junior.kampf,526045
6526,espacoeducar,master.tatianne.conceicao,458650
6527,tiathais,master.thais.feitosa,458696
6528,stellamaris,andrea.granado,423049
6529,plurecrecheescola,master.francisca.ivania,458703
6530,colegiovitoria,master.patrycia.carolyne,458710
6531,colegiovitoria,master.virna.maria,458711
6532,escolacristacandeias,master.kellen.patricia,458695
6533,poliedropv,aranda.adm,415153
6534,ceabb,profvinicius,151016
6535,universobarcarena,camila.jesus,468777
6536,mastersolucoes,mercia.figueiredo,423111
6537,contemporaneolagoanova,waleska.brito,493328
6538,physicsalmirantebarroso,joane.aragao,423142
6539,cermac,adriana.francesconi,423147
6540,overpontanegra,camila.rocha,461191
6541,universitariolondrina,flavia.trovo.universitario,521762
6542,cermac,anabela.zanella,423150
6543,pesenglish,monicabertolin,522444
6544,highline,tathiana.aguiar.highline,423152
6545,physicsumarizal,Ana.claudia,432789
6546,highline,anabela.zanella.highline,423153
6547,cermac,tathiana.aguiar.cermac,423154
6548,primeirodemaio,fabioalvex,512162
6549,contemporaneolagoanova,thaina.carvalho,493329
6550,primeirodemaio,biamedina,540503
6551,colegioalphaunis,luciana.coord,537280
6552,qi,jefferson.raiz,432846
6553,tiathais,master.adriana.oliveira,458697
6554,cermac,fernando.antonioli.cermac,432935
6555,highline,fernando.antonioli.highline,432942
6556,acesso,marcia.gomes,461192
6557,sas,Cotejador2,410629
6558,novoemlasalle,juliana.maia,593634
6559,colegioecursodesafio,walesca,351712
6560,saseducacao,luizcarlos,433047
6561,apogeu,marcioniloecn62,319612
6562,opet,admopet,382919
6563,acessoboqueirao,fernanda.rossetto,419864
6564,stellamarisjuveve,pedro.naus,433169
6565,colegioeducallis,dagoliveira,227202
6566,acessoalmirantetamandare,larissa.santos,351488
6567,acessoalmirantetamandare,pedro.naus,433208
6568,acessoboqueirao,pedro.naus,433210
6569,antarespapicu,doris.adm,286599
6570,contemporaneocidadeverde,terezinha.brito,493318
6571,avaliacaoapogeu,ana.apogeu,423852
6572,avaliacaoapogeu,carolina.apogeu,423855
6573,avaliacaoapogeu,filipi.apogeu,423847
6574,avaliacaoapogeu,fredgardel,423856
6575,dbosco,mirene.dbosco,537284
6576,avaliacaoapogeu,jacyara.apogeu,423848
6577,avaliacaoapogeu,marilia.apogeu,423850
6578,avaliacaoapogeu,patricia.apogeu,423851
6579,avaliacaoapogeu,thaina.apogeu,423853
6580,stellamarisjuveve,camila.neves,433682
6581,avaliacaoapogeu,iara.apogeu,423849
6582,contemporaneocidadeverde,regina.ferro,493319
6583,avaliacaoapogeu,cintia.apogeu,423854
6584,cbpdigital,soefund2.cbp,434743
6585,integraformacoes,guilherme.calderano,434291
6586,habilisescolaecurso,master.priscilla.roberta,470775
6587,contemporaneocidadeverde,raphael.machado,544670
6588,qescola,adminzero01,526054
6589,qescola,adminzero02,526055
6590,colegiobilac,oppsmyla,463793
6591,educardpaschoal,adm.dpaschoal,434450
6592,sas,caiosas,434534
6593,aocubo,flromeiroc,434566
6594,universitariolondrina,anapaula.lotti.universitario,326938
6595,matriz,flromeiroc,434634
6596,escolasantaclara,master.jose.bezerro,458508
6597,cbpdigital,inforpalmas,434736
6598,cbpdigital,eduinfantilcbp,434745
6599,cbpdigital,ass.disciplinarfund2,434739
6600,cbpdigital,soefund1.cbp,434744
6601,cbpdigital,robson.reis,434737
6602,cbpdigital,secretaria.cbp,434746
6603,cbpdigital,fund1cbpalmas,434741
6604,cbpdigital,fund2cbpalmas,434742
6605,dbosco,leticia.dbosco,537287
