,namespace,Semana,Porcentagem de visualização de relatórios de AA
564,ciadosaber,23,0.6861702127659575
565,ciadosaber,24,0.5057471264367817
566,ciadosaber,25,0.7083333333333334
567,ciadosaber,30,0.07627118644067797
568,ciadosaber,31,0.09523809523809523
569,ciadosaber,32,0.3352941176470588
570,ciadosaber,33,0.3390804597701149
571,ciadosaber,34,0.26851851851851855
572,classea,23,0.0
573,classea,24,0.0
574,classea,25,0.0
575,classea,27,0.0
576,classea,28,0.0
577,classea,29,0.0
578,classea,30,0.0
579,classea,32,0.0
580,classea,33,0.0
581,classea,34,0.0
582,classea,35,0.0
583,cmdpii,23,0.0
584,cmdpii,24,0.0
585,cmdpii,25,0.0
586,cmdpii,27,0.0
587,cmdpii,28,0.0
588,cmdpii,29,0.0
589,cmdpii,30,0.0
590,cmdpii,32,0.0
591,cmdpii,33,0.0
592,cmdpii,34,0.0
593,cmdpii,35,0.0
594,cnslpb,23,0.1710843373493976
595,cnslpb,24,0.4765564950038432
596,cnslpb,25,0.12462908011869436
597,cnslpb,26,0.16463414634146342
598,cnslpb,28,0.06097560975609756
599,cnslpb,30,0.04743083003952569
600,cnslpb,31,0.27712418300653596
601,cnslpb,32,0.24408014571949
602,cnslpb,33,0.375
603,cnslpb,34,0.23376623376623376
604,cnslpb,35,0.09848484848484848
605,cognita,23,0.0
606,cognita,24,0.0
607,cognita,25,0.0
608,cognita,27,0.0
609,cognita,28,0.0
610,cognita,29,0.0
611,cognita,30,0.0
612,cognita,32,0.0
613,cognita,33,0.0
614,cognita,34,0.0
615,cognita,35,0.0
616,cognitivo,23,0.0
617,cognitivo,24,0.0
618,cognitivo,25,0.0
619,cognitivo,27,0.0
620,cognitivo,28,0.0
621,cognitivo,29,0.0
622,cognitivo,30,0.0
623,cognitivo,32,0.0
624,cognitivo,33,0.0
625,cognitivo,34,0.0
626,cognitivo,35,0.0
627,colegioalbertsabin,23,0.0
628,colegioalbertsabin,24,0.0
629,colegioalbertsabin,25,0.0
630,colegioalbertsabin,27,0.0
631,colegioalbertsabin,28,0.0
632,colegioalbertsabin,29,0.0
633,colegioalbertsabin,30,0.0
634,colegioalbertsabin,32,0.0
635,colegioalbertsabin,33,0.0
636,colegioalbertsabin,34,0.0
637,colegioalbertsabin,35,0.0
638,colegioalphaunis,24,0.5493562231759657
639,colegioalphaunis,25,0.39612403100775195
640,colegioalphaunis,26,0.1639871382636656
641,colegioalphaunis,27,0.6409638554216868
642,colegioalphaunis,33,0.8012108980827447
643,colegioalphaunis,34,0.8205128205128205
644,colegioanchietai,33,0.0
645,colegioanchietai,34,0.0
646,colegioanchietaii,33,0.0
647,colegioanchietaii,34,0.0
648,colegioarena,23,0.5196833547282841
649,colegioarena,24,0.6046405823475887
650,colegioarena,25,0.8347107438016529
651,colegioarena,30,0.0
652,colegioarena,31,0.17796610169491525
653,colegioarena,32,0.3724696356275304
654,colegioarena,33,0.40811287477954145
655,colegioarena,34,0.25847644209599296
656,colegioarena,35,0.023767082590612002
657,colegiobatistaindependente,23,0.8478260869565217
658,colegiobatistaindependente,24,0.5454545454545454
659,colegiobatistaindependente,25,0.7959558823529411
660,colegiobatistaindependente,26,0.5666666666666667
661,colegiobatistaindependente,27,0.343042071197411
662,colegiobatistaindependente,28,0.5662650602409639
663,colegiobatistaindependente,30,0.0
664,colegiobatistaindependente,32,0.8888888888888888
665,colegiobatistaindependente,33,0.8082191780821918
666,colegiobatistaindependente,34,0.8091872791519434
667,colegiobatistaindependente,35,0.46153846153846156
668,colegiobetelbrasileirosp,23,0.783068783068783
669,colegiobetelbrasileirosp,24,0.8378378378378378
670,colegiobetelbrasileirosp,25,0.6777777777777778
671,colegiobetelbrasileirosp,30,0.0
672,colegiobetelbrasileirosp,31,0.5774647887323944
673,colegiobetelbrasileirosp,32,0.8071005917159764
674,colegiobetelbrasileirosp,33,0.7522123893805309
675,colegiobetelbrasileirosp,34,0.7086247086247086
676,colegiobetelbrasileirosp,35,0.5
677,colegiobianguloiv,33,0.0
678,colegiobianguloiv,34,0.0
679,colegiobilac,23,0.11596385542168675
680,colegiobilac,24,0.2315270935960591
