,namespace,Semana,Número de AAs por turma
508,colegioup,26,2.925925925925926
509,colegioup,27,5.111111111111111
510,colegioup,28,4.2727272727272725
511,colegioup,31,1.0
512,colegioup,33,0.8888888888888888
513,colegioup,35,1.2
514,conexaosaber,23,1.5555555555555556
515,conexaosaber,24,3.4
516,conexaosaber,25,5.636363636363637
517,conexaosaber,26,1.0
518,conexaosaber,33,1.5454545454545454
519,conexaosaber,34,1.2857142857142858
520,conexaosaber,35,1.2727272727272727
521,contemporaneo,31,2.5
522,contemporaneo,33,0.5
523,contemporaneocidadeverde,23,0.2
524,contemporaneocidadeverde,28,5.0
525,contemporaneocidadeverde,31,4.0
526,contemporaneocidadeverde,32,2.6923076923076925
527,contemporaneocidadeverde,33,3.857142857142857
528,contemporaneocidadeverde,34,0.16666666666666666
529,contemporaneolagoanova,23,0.16666666666666666
530,contemporaneolagoanova,30,0.6
531,contemporaneolagoanova,31,2.2142857142857144
532,contemporaneolagoanova,32,2.1333333333333333
533,contemporaneolagoanova,33,3.625
534,contemporaneolagoanova,34,0.2222222222222222
535,cparaiso,32,1.0
536,cparaiso,34,1.0
537,crb,23,2.85
538,crb,24,2.7049180327868854
539,crb,25,1.7407407407407407
540,crb,26,0.9310344827586207
541,crb,29,0.5
542,crb,31,2.372549019607843
543,crb,32,2.7761194029850746
544,crb,33,0.875
545,crb,34,3.142857142857143
546,crb,35,0.7333333333333333
547,crescercampinas,23,1.4285714285714286
548,crescercampinas,24,0.8823529411764706
549,crescercampinas,25,1.6
550,crescercampinas,26,0.5
551,crescercampinas,30,0.3333333333333333
552,crescercampinas,31,0.6818181818181818
553,crescercampinas,32,2.2962962962962963
554,crescercampinas,33,3.1153846153846154
555,crescercampinas,34,1.5
556,crescercampinas,35,1.2857142857142858
557,cursinhoeach,25,1.0
558,cursobase,24,1.0
559,cursobase,25,1.0
560,cursobase,34,0.5
561,cursoenfase,23,0.25
562,cursoenfase,24,1.0
563,cursoenfase,25,0.5
564,cursoenfase,33,0.4
565,cursoenfase,34,0.3333333333333333
566,cursoisfera,23,1.6
567,cursoisfera,24,2.0
568,cursoisfera,25,4.25
569,cursoisfera,26,3.75
570,cursoisfera,27,1.0
571,cursoisfera,28,1.6666666666666667
572,cursoisfera,29,1.0
573,cursoisfera,30,1.0
574,cursoisfera,31,3.0
575,cursoisfera,32,2.142857142857143
576,cursoisfera,33,1.8571428571428572
577,cursoisfera,34,2.5
578,cursoleopoldo,32,0.2
579,cursoleopoldo,34,0.2
580,cursoprogressao,32,1.0
581,cursosazambuja,23,1.0
582,cursosazambuja,24,0.75
583,cursosazambuja,25,0.13333333333333333
584,cursosazambuja,26,0.18181818181818182
585,cursosazambuja,27,0.3333333333333333
586,cursosazambuja,28,0.6666666666666666
587,cursosazambuja,29,0.20754716981132076
588,cursosazambuja,30,0.2857142857142857
589,cursosazambuja,31,0.4
590,cursosazambuja,33,0.5555555555555556
591,cursosazambuja,34,0.1282051282051282
592,cursosazambuja,35,0.25
593,dante,33,0.3333333333333333
594,deltaeducacional,23,1.0
595,deltaeducacional,24,0.8333333333333334
596,deltaeducacional,25,1.0
597,deltaeducacional,26,2.0
598,deltaeducacional,32,2.0
599,deltaeducacional,33,3.0
600,deltaeducacional,34,5.0
601,deltaeducacional,35,5.0
602,dommga,25,2.0
603,domus,23,0.3333333333333333
604,domus,33,0.3333333333333333
605,domus,34,0.3333333333333333
606,eacorcovado,23,0.7692307692307693
607,eacorcovado,24,1.0
608,eacorcovado,25,3.0
609,eacorcovado,31,1.0
610,eacorcovado,32,1.0
611,eacorcovado,33,1.0
612,eacorcovado,35,0.5
613,eccos,24,1.2
614,eccos,25,1.1818181818181819
615,eccos,26,0.8
616,eccos,31,1.0
617,eccos,32,1.7777777777777777
618,eccos,33,1.125
619,eccos,34,1.5333333333333334
620,eccos,35,1.5
621,educamais,24,1.0
622,educamais,33,1.0
623,educandarioterciocorreia,23,1.5
624,educandarioterciocorreia,24,4.0
625,educandarioterciocorreia,25,2.2857142857142856
626,educandarioterciocorreia,26,2.2857142857142856
627,educandarioterciocorreia,31,1.0
628,educandarioterciocorreia,32,1.5
629,educandarioterciocorreia,33,3.2857142857142856
630,educandarioterciocorreia,34,2.857142857142857
