,namespace,Semana,numero_ex
51,acessofazendariogrande,32,25.75
1094,psantagema,24,25.666666666666668
906,overpontanegra,33,25.65
730,invictus,28,25.6
382,colegiofuturageracao,24,25.5
366,colegioensitec,29,25.416666666666668
208,cem,23,25.4
1216,stellamarisxaxim,32,25.333333333333332
780,mariliamattoso,28,25.333333333333332
1207,stellamarisjuveve,34,25.321428571428573
728,invictus,26,25.285714285714285
837,oficinadoestudante,25,25.0
383,colegiofuturageracao,25,25.0
839,osequim,34,25.0
625,educandarioterciocorreia,25,25.0
1252,villalobos,30,25.0
147,apogeustoantonio2,34,25.0
487,colegiosete,34,25.0
143,apogeustoantonio2,28,25.0
560,cursobase,34,25.0
586,cursosazambuja,28,25.0
320,colegiocb,34,24.933333333333334
626,educandarioterciocorreia,26,24.857142857142858
830,objetivolorena,33,24.68
1218,stellamarisxaxim,34,24.666666666666668
801,minhalista,24,24.5
566,cursoisfera,23,24.4
355,colegioeducallis,24,24.389830508474578
424,colegiointegral,33,24.242857142857144
302,colegiobrasilia,25,24.11904761904762
356,colegioeducallis,25,24.044444444444444
138,anchietaba,30,24.0
581,cursosazambuja,23,24.0
609,eacorcovado,31,24.0
458,colegioplanck,28,24.0
369,colegioensitec,32,24.0
83,acessosantafelicidade,32,23.928571428571427
799,master,35,23.88888888888889
782,mariliamattoso,30,23.818181818181817
540,crb,26,23.724137931034484
275,colegiobatistaindependente,27,23.583333333333332
464,colegioplanck,34,23.5
768,maplebearslz,26,23.333333333333332
298,colegiobilac,34,23.285714285714285
389,colegiofuturageracao,35,23.25
466,colegiopremium,23,23.22222222222222
1243,universobarcarena,30,23.157894736842106
844,overabelcabral,27,23.0
432,colegiojoaopaulo,28,23.0
455,colegioplanck,23,22.821428571428573
411,colegioiguatemy,32,22.75
256,colegioalphaunis,27,22.7
435,colegiojoaopaulo,31,22.583333333333332
1016,porto,24,22.52
381,colegiofuturageracao,23,22.5
295,colegiobilac,31,22.444444444444443
341,colegioecursodesafio,25,22.307692307692307
1090,provaspoliedro,33,22.305263157894736
1184,spdacruz,25,22.236842105263158
246,cnslpb,30,22.227272727272727
904,overpontanegra,31,22.166666666666668
386,colegiofuturageracao,32,22.0
203,ceespacolivre,28,22.0
599,deltaeducacional,33,22.0
462,colegioplanck,32,21.964285714285715
200,ceespacolivre,25,21.944444444444443
715,integradaeducativa,25,21.933333333333334
1249,villalobos,25,21.857142857142858
1073,progressaoig,27,21.833333333333332
826,objetivolorena,25,21.733333333333334
185,cbpdigital,25,21.666666666666668
766,maplebearslz,24,21.555555555555557
165,casdinhosjc,25,21.5
1125,santamariacn,25,21.5
376,colegioflamingo,26,21.4
1006,portinari,27,21.357142857142858
1139,santoamerico,26,21.266666666666666
1193,stellamarisaguaverde,25,21.25
1081,provaspoliedro,23,21.22972972972973
461,colegioplanck,31,21.166666666666668
895,overnascimentodecastro,27,21.0
656,escolaceciliameireles,23,21.0
321,colegiocb,35,21.0
358,colegioeducallis,32,20.95
1143,santoamerico,31,20.8
700,institutocristao,23,20.75
127,amadeus,32,20.61111111111111
128,amadeus,33,20.466666666666665
212,cem,32,20.363636363636363
1044,prismapatrocinio,35,20.238095238095237
1192,stellamarisaguaverde,24,20.166666666666668
221,ceprimeiromundo,28,20.125
1137,santoamerico,24,20.09090909090909
1014,portinari,35,20.083333333333332
1164,seletivoeducallis,32,20.0
304,colegiobrasilia,27,20.0
1163,seletivoeducallis,28,20.0
1162,seletivoeducallis,26,20.0
1030,prevest,34,20.0
765,maplebearslz,23,20.0
1161,seletivoeducallis,23,20.0
60,acessohauer,29,20.0
186,cbpdigital,26,20.0
820,nucleocriativo,32,20.0
377,colegioflamingo,32,20.0
399,colegioguilhermedealmeida,31,20.0
941,physicsbatistacampos,23,20.0
1117,saberviver,32,20.0
1048,profederal,26,20.0
414,colegioiguatemy,35,19.833333333333332
976,pioxiicolegio,23,19.6
387,colegiofuturageracao,33,19.6
359,colegioeducallis,33,19.55263157894737
1011,portinari,32,19.451612903225808
258,colegioalphaunis,34,19.428571428571427
1105,qescola,26,19.25
763,magister,32,19.25
1113,qescola,34,19.2
1222,testevictorhugo,35,19.2
237,ciadosaber,33,19.2
486,colegiosete,33,19.142857142857142
120,aescobjetivo,35,19.11111111111111
760,magister,25,19.0
734,invictus,35,19.0
524,contemporaneocidadeverde,28,19.0
397,colegioglobal,34,18.90909090909091
365,colegioensitec,28,18.88888888888889
236,ciadosaber,32,18.88888888888889
936,physicsaugustomontenegro,24,18.88888888888889
948,physicscidadenova,24,18.88888888888889
637,einsteinassis,25,18.857142857142858
489,colegiouirapuru,23,18.675675675675677
490,colegiouirapuru,24,18.636363636363637
188,cbpdigital,32,18.620689655172413
916,overzonanorte,32,18.571428571428573
869,overlimaesilva,35,18.571428571428573
1008,portinari,29,18.458333333333332
1087,provaspoliedro,30,18.350877192982455
238,ciadosaber,34,18.333333333333332
347,colegioecursoprogressao,28,18.181818181818183
1099,psantagema,33,18.041666666666668
879,overmarciliofurtado,32,18.0
176,casdvest,31,18.0
278,colegiobatistaindependente,33,17.833333333333332
187,cbpdigital,31,17.77777777777778
1098,psantagema,32,17.61904761904762
